,z,om,o2,so4,h2s,fes2,dso4,dh2s,dfes2,f_o2,f_so4,f_h2s,f_fes2,fe,DB,DSO4,DH2S,DO2,phi,omega
0,0.0,1000.0,0.19999999999999984,28.0,0.0,0.0,20.9999999999995,,,2.2002200220021993e-11,2.184615624683039e-13,2.184615624683039e-13,0.0,10.0,0.0,2.621449059511569e-10,5.58669471699187e-10,1.0735335895451127e-09,0.65,1.5e-11
1,0.5008347245409015,731.3945649075912,0.006424330785223024,26.649478945237632,2.144296809012536,-0.0,26.801327514809994,-10.712901158062575,,1.420524763545809e-11,2.714432867074065e-13,5.873416543249658e-14,2.1270912127490993e-13,9.925658621444324,0.0,2.623571243019064e-10,5.589191941550257e-10,1.073591794086743e-09,0.65,1.5e-11
2,1.001669449081803,741.3751739243927,-0.0,25.44389209075295,4.177528926377929,-0.0,32.504001873720746,-10.71183907530155,,1.1691731672249738e-11,3.0415707111729155e-12,2.627490456168647e-12,4.1408025500426856e-13,9.917970887791997,0.0,2.625693426526559e-10,5.591689166108645e-10,1.0736499986283732e-09,0.65,1.5e-11
3,1.5025041736227045,737.7831973419957,-0.0,24.367816618168646,6.1054902546090215,-0.0,38.07471728265843,-10.71042784746346,,1.0476233587984076e-11,4.147066238549179e-12,3.5429597402269418e-12,6.041064983222375e-13,9.900173702246665,0.0,2.6278156100340536e-10,5.594186390667034e-10,1.073708203170003e-09,0.65,1.5e-11
4,2.003338898163606,739.0165638710401,-0.0,23.4076471187918,7.933590245179509,-0.0,43.48280716298881,-10.708702140211638,,1.0433796631961024e-11,4.222364833950603e-12,3.439153853455865e-12,7.832109804947382e-13,9.877492802037427,0.0,2.629937793541548e-10,5.596683615225423e-10,1.0737664077116332e-09,0.65,1.5e-11
5,2.5041736227045073,734.6947890625283,-0.0,22.55102398825766,9.667059980125853,-0.0,48.70184843323001,-10.706983281672555,,1.0246702632525005e-11,4.2874225817266115e-12,3.3359443116716126e-12,9.514782700549991e-13,9.847548749030354,0.0,2.6320599770490434e-10,5.599180839783811e-10,1.0738246122532635e-09,0.65,1.5e-11
6,3.005008347245409,737.3618103795778,-0.0,21.786933524662444,11.310847563647194,-0.0,53.70944288751613,-10.705426682543836,,1.0134601470154647e-11,4.471342832598505e-12,3.3618284486154204e-12,1.1095143839830848e-12,9.814007711973826,0.0,2.634182160556538e-10,5.601678064342199e-10,1.0738828167948935e-09,0.65,1.5e-11
7,3.5058430717863107,733.3760504185049,-0.0,21.105638355284604,12.869595571789354,-0.0,58.48715769992412,-10.704126411069957,,9.777485874408497e-12,4.714151065756565e-12,3.456886271044562e-12,1.2572647947120025e-12,9.773605495150784,0.0,2.6363043440640327e-10,5.604175288900587e-10,1.0739410213365236e-09,0.65,1.5e-11
8,4.006677796327212,736.0440385264433,-0.0,20.4985856750271,14.34763459202529,0.0037965704558674653,63.02036603084726,-10.703192553051037,969.3528004587108,9.307858239776194e-12,5.252016860010822e-12,3.8565326239941825e-12,1.3954842360166398e-12,9.730195561276474,0.0,2.6384265275715274e-10,5.606672513458976e-10,1.073999225878154e-09,0.65,1.5e-11
9,4.507512520868113,732.0158545028692,-0.0,19.95844785568178,15.748918160663901,0.050005556289334965,67.2974797759776,-10.702819539632973,61.8832890228014,8.232523074060795e-12,6.204558564001219e-12,4.680539129078933e-12,1.5240194349222862e-12,9.680563762280297,0.0,2.640548711079022e-10,5.609169738017364e-10,1.0740574304197839e-09,0.65,1.5e-11
10,5.0083472454090145,734.6219167290562,-0.0,19.4792559453599,17.07691398318508,0.10543072317266423,71.30863387346409,-10.703416724202805,23.230837197546773,6.3727573632979915e-12,8.116132074794547e-12,6.472420045472522e-12,1.6437120293220244e-12,9.628561151916381,0.0,2.6426708945865177e-10,5.611666962575753e-10,1.074115634961414e-09,0.65,1.5e-11
11,5.509181969949917,730.4766952806921,-0.0,19.05669097689669,18.334416596057643,0.15963057719090123,75.04354140594772,-10.705824973802354,11.985683741788733,3.6288852513423792e-12,1.0715651739917017e-11,8.961401354490573e-12,1.754250385426445e-12,9.570938689011205,0.0,2.6447930780940124e-10,5.61416418713414e-10,1.0741738395030443e-09,0.65,1.5e-11
12,6.010016694490818,732.9365834629039,-0.0,18.68764276886241,19.523707555451743,0.22244805469858286,78.49198033633724,-10.711293344834203,5.3653135472640505,1.4424590634136486e-12,1.2944635118050307e-11,1.1088126853578816e-11,1.85650826447149e-12,9.511543821562654,0.0,2.6469152616015065e-10,5.616661411692528e-10,1.0742320440446743e-09,0.65,1.5e-11
13,6.510851419031719,728.6623278977578,-0.0,18.36886625174552,20.64717005932034,0.28347429722536444,81.64838457636019,-10.720941331762791,2.0634146088783516,4.423752680384551e-13,1.3813896197236243e-11,1.1863807796526524e-11,1.950088400709719e-12,9.44709497057474,0.0,2.6490374451090017e-10,5.619158636250918e-10,1.0742902485863044e-09,0.65,1.5e-11
14,7.011686143572621,731.0636802117999,-0.0,18.09611163174643,21.707715859020723,0.35255402467362357,84.51555616561284,-10.735247525246349,-0.5746205053884543,1.247915608070456e-13,1.4191884598960026e-11,1.2155830461953319e-11,2.036054137006707e-12,9.381437851688746,0.0,2.6511596286164964e-10,5.621655860809306e-10,1.0743484531279345e-09,0.65,1.5e-11
15,7.512520868113523,726.7641581143541,-0.0,17.864898436686296,22.708436385302225,0.4193189908515645,87.1019296719178,-10.754322778266253,-2.08523489466392,3.384685829698526e-14,1.4161511853529187e-11,1.2047487894831955e-11,2.114023958697232e-12,9.31125027690334,0.0,2.6532818121239915e-10,5.624153085367693e-10,1.0744066576695649e-09,0.65,1.5e-11
16,8.013355592654424,729.1666795918555,-0.0,17.670837852660323,23.652448034746786,0.4936197398803252,89.41990556273939,-10.778051121489817,-3.4853461631335017,9.204291636993023e-15,1.4250237713763999e-11,1.2065053823234044e-11,2.185183890529955e-12,9.240372136473372,0.0,2.655403995631486e-10,5.626650309926082e-10,1.0744648622111948e-09,0.65,1.5e-11
17,8.514190317195325,724.8642861773156,-0.0,17.510028375826433,24.542693629381546,0.565133785782344,91.48358404050086,-10.80632259014701,-4.329358992924885,2.4702163984241995e-15,1.4137145949525626e-11,1.1888067845048023e-11,2.249078104477602e-12,9.165435481973018,0.0,2.657526179138981e-10,5.62914753448447e-10,1.074523066752825e-09,0.65,1.5e-11
18,9.015025041736227,727.274588522426,-0.0,17.378862433283377,25.382019659487437,0.6437160415640092,93.30878664352451,-10.838947337550705,-5.193323552514251,6.692251298586468e-16,1.4203962830349179e-11,1.1897011404281685e-11,2.306951426067494e-12,9.09027583479001,0.0,2.6596483626464755e-10,5.631644759042858e-10,1.0745812712944552e-09,0.65,1.5e-11
